Movie_Title,Release_Year,IMDb_Rating,Director,Genre
Oppenheimer,2023,8.6,Christopher Nolan,"Biography, Drama, History"
Spider-Man: Across the Spider-Verse,2023,8.7,Joaquim Dos Santos,"Animation, Action, Adventure"
Guardians of the Galaxy Vol. 3,2023,7.9,James Gunn,"Action, Adventure, Comedy"
Mission: Impossible - Dead Reckoning Part One,2023,7.9,Christopher McQuarrie,"Action, Adventure, Thriller"
The Batman,2022,7.8,Matt Reeves,"Action, Crime, Drama"
John Wick: Chapter 4,2023,7.8,Chad Stahelski,"Action, Crime, Thriller"
Interstellar,2014,8.7,Christopher Nolan,"Adventure, Drama, Sci-Fi"
The Wolf of Wall Street,2013,8.2,Martin Scorsese,"Biography, Comedy, Crime"
Dune: Part One,2021,8.0,Denis Villeneuve,"Action, Adventure, Drama"
Everything Everywhere All at Once,2022,7.8,Daniel Kwan,"Action, Adventure, Comedy"
The Whale,2022,7.7,Darren Aronofsky,Drama
The Big Short,2015,7.8,Adam McKay,"Biography, Comedy, Drama"
Once Upon a Time in... Hollywood,2019,7.6,Quentin Tarantino,"Comedy, Drama"
Joker,2019,8.4,Todd Phillips,"Crime, Drama, Thriller"
Top Gun: Maverick,2022,8.3,Joseph Kosinski,"Action, Drama"
Arrival,2016,7.9,Denis Villeneuve,"Drama, Mystery, Sci-Fi"
Wind River,2017,7.7,Taylor Sheridan,"Crime, Drama, Mystery"
Mad Max: Fury Road,2015,8.1,George Miller,"Action, Adventure, Sci-Fi"
Blade Runner 2049,2017,8.0,Denis Villeneuve,"Action, Drama, Mystery"
Gone Girl,2014,8.1,David Fincher,"Drama, Mystery, Thriller"
Prisoners,2013,8.1,Denis Villeneuve,"Crime, Drama, Mystery"
Hacksaw Ridge,2016,8.1,Mel Gibson,"Biography, Drama, History"
Gisaengchung,2019,8.5,Bong Joon Ho,"Drama, Thriller"
